2023 Rank,Airport,2023 Enplaned Passengers in millions,2022 Rank,2022 Enplaned Passengers,Pct. Change 2022-2023
138,"Appleton, WI: Appleton International",0.474,139,0.415,14.2
139,"Missoula, MT: Missoula Montana",0.457,136,0.424,7.9
140,"Kalispell, MT: Glacier Park International",0.456,137,0.420,8.5
141,"Pasco/Kennewick/Richland, WA: Tri Cities",0.438,143,0.391,12.1
142,"Billings, MT: Billings Logan International",0.428,144,0.386,10.8
143,"Aguadilla, PR: Rafael Hernandez",0.425,150,0.346,23.1
144,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",0.418,138,0.419,-0.2
145,"Tallahassee, FL: Tallahassee International",0.412,142,0.393,4.8
146,"Provo, UT: Provo Municipal",0.410,183,0.209,96.7
147,"South Bend, IN: South Bend International",0.405,148,0.357,13.5
148,"Amarillo, TX: Rick Husband Amarillo International",0.398,146,0.358,11.0
149,"Fort Wayne, IN: Fort Wayne International",0.390,147,0.357,9.2
150,"Atlantic City, NJ: Atlantic City International",0.383,140,0.412,-6.9
151,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",0.371,154,0.326,13.7
152,"Juneau, AK: Juneau International",0.355,145,0.359,-1.2
153,"Corpus Christi, TX: Corpus Christi International",0.349,156,0.317,10.0
154,"Traverse City, MI: Cherry Capital",0.347,163,0.288,20.5
155,"Bangor, ME: Bangor International",0.346,151,0.339,2.2
156,"Daytona Beach, FL: Daytona Beach International",0.346,165,0.278,24.2
157,"Rapid City, SD: Rapid City Regional",0.345,152,0.331,4.3
158,"Roanoke, VA: Roanoke Blacksburg Regional",0.342,161,0.297,15.3
159,"Akron, OH: Akron-Canton Regional",0.339,171,0.262,29.3
160,"Trenton, NJ: Trenton Mercer",0.326,153,0.328,-0.7
161,"San Luis Obispo, CA: San Luis County Regional",0.324,166,0.273,18.8
162,"Green Bay, WI: Green Bay Austin Straubel International",0.322,162,0.294,9.6
163,"Santa Rosa, CA: Charles M. Schulz - Sonoma County",0.318,158,0.304,4.7
164,"Peoria, IL: General Downing - Peoria International",0.314,164,0.283,11.0
165,"Bellingham, WA: Bellingham International",0.310,155,0.320,-3.3
166,"Aspen, CO: Aspen Pitkin County Sardy Field",0.308,159,0.299,3.2
167,"Shreveport, LA: Shreveport Regional",0.307,167,0.272,13.0
168,"Everett, WA: Snohomish County",0.306,173,0.260,17.6
169,"Charlottesville, VA: Charlottesville Albemarle",0.305,174,0.260,17.5
170,"Flint, MI: Bishop International",0.281,160,0.299,-6.0
171,"Augusta, GA: Augusta Regional at Bush Field",0.277,169,0.268,3.7
172,"Mobile, AL: Mobile Regional",0.275,172,0.262,5.3
173,"Gulfport/Biloxi, MS: Gulfport-Biloxi International",0.272,175,0.244,11.7
174,"Moline, IL: Quad Cities International",0.271,168,0.268,1.1
175,"Idaho Falls, ID: Idaho Falls Regional",0.270,157,0.308,-12.5
176,"Gainesville, FL: Gainesville Regional",0.268,170,0.262,2.3
177,"Bismarck/Mandan, ND: Bismarck Municipal",0.257,176,0.242,6.4
