Country,venue_city,routing_fraction,years_observed
Jamaica,Dallas,0.03253583848808941,3
Jamaica,Houston,0.04704772441117058,3
Jamaica,Kansas City,0.002286664120937128,1
Jamaica,Miami,0.2530192567015401,3
Jamaica,New York,0.22495790907362992,3
Jamaica,Philadelphia,0.03744800615631659,3
Japan,Atlanta,0.0190316320842613,3
Japan,Boston,0.011797780633975134,3
Japan,Dallas,0.05058092679572977,3
Japan,Houston,0.03451668923185872,3
Japan,Los Angeles,0.19795224309344897,3
Japan,New York,0.0909185096172295,3
Japan,Philadelphia,6.364022061943148e-4,1
Japan,San Francisco,0.14248980627232913,3
Japan,Seattle,0.049837006950153154,3
Jordan,New York,0.24869385415871315,3
Kenya,New York,1,3
Kuwait,New York,1,3
Martinique,Miami,1,3
Mexico,Atlanta,0.05058348237305171,3
Mexico,Boston,0.007556448615774182,3
Mexico,Dallas,0.1329751099215293,3
Mexico,Houston,0.122766760140346,3
Mexico,Kansas City,0.003959208989176767,3
Mexico,Los Angeles,0.11260646505017252,3
Mexico,Miami,0.049043541201886705,3
Mexico,New York,0.05897222588982728,3
Mexico,Philadelphia,0.01049707992528552,3
Mexico,San Francisco,0.06511363063470087,3
Mexico,Seattle,0.017947946603195087,3
Morocco,Miami,0.1801948449748469,3
Morocco,New York,0.5565850855123472,3
Netherlands,Atlanta,0.12810535927479913,3
Netherlands,Boston,0.07506635950793313,3
Netherlands,Dallas,0.022336495460794605,3
Netherlands,Houston,0.04428694364103026,3
Netherlands,Los Angeles,0.0567617624800537,3
Netherlands,New York,0.1551703703817375,3
Netherlands,Philadelphia,0.020047170717837553,3
Netherlands,San Francisco,0.051573587391937424,3
Netherlands,Seattle,0.0539336311583756,3
New Zealand,Houston,0.19948859078050404,3
New Zealand,Los Angeles,0.3036289273784949,3
New Zealand,New York,0.147648874322986,3
New Zealand,San Francisco,0.22039104979197538,3
Nicaragua,Dallas,0.005655452436194895,1
Nicaragua,Houston,0.21671961371873216,3
Nicaragua,Miami,0.7784456387110591,3
Nigeria,Atlanta,0.6246541005965303,3
Nigeria,New York,0.021765127959818224,1
Norway,Los Angeles,0.1523075033539848,2
Norway,Miami,0.14496231503641394,2
Norway,New York,0.8018201210730675,3
Panama,Atlanta,0.04956909446497598,3
Panama,Boston,0.03086845389855544,3
Panama,Houston,0.06607482137966257,3
Panama,Los Angeles,0.07947510863921414,3
Panama,Miami,0.23419367013800044,3
Panama,New York,0.1277299429062632,3
Panama,San Francisco,0.03588619408976083,3
Peru,Atlanta,0.16829711244467763,3
Peru,Houston,0.06467416760158523,3
Peru,Los Angeles,0.13029541996891764,3
Peru,Miami,0.4653857088709935,3
Peru,New York,0.168062453848299,3
Philippines,Los Angeles,0.37964266150555737,2
Philippines,New York,0.07481876999982201,2
Philippines,San Francisco,0.41911390837713824,3
Poland,Los Angeles,0.14600732791058865,3
Poland,Miami,0.07262103939880611,3
Poland,New York,0.45391093103468705,3
Portugal,Atlanta,0.0026346090045081087,1
Portugal,Boston,0.19273266588271978,3
Portugal,Los Angeles,0.032000122196170676,1
Portugal,Miami,0.08421323349699632,3
Portugal,New York,0.44114550405503344,3
Portugal,Philadelphia,0.06491525152349359,3
Portugal,San Francisco,0.04634049710878132,3
Qatar,Atlanta,0.06593610369625855,3
Qatar,Boston,0.06250026598443767,3
Qatar,Dallas,0.10628267686158802,3
Qatar,Houston,0.06424114824545234,3
Qatar,Los Angeles,0.08440644537184622,3
Qatar,Miami,0.08071493231734636,3
Qatar,New York,0.17215100918011939,3
