Country,venue_city,diaspora_pop,total_foreign_born,diaspora_conc
Haiti,Phoenix,1371,684927,0.002001673171009465
Costa Rica,Phoenix,942,684927,0.0013753290496651468
Guatemala,Phoenix,12439,684927,0.01816105949977151
Honduras,Phoenix,2879,684927,0.004203367658159191
Mexico,Phoenix,327907,684927,0.47874737015769564
Panama,Phoenix,1026,684927,0.0014979698566416567
Argentina,Phoenix,1548,684927,0.0022600948714242538
Bolivia,Phoenix,293,684927,4.2778281481092146e-4
Brazil,Phoenix,2950,684927,0.004307028340246479
Chile,Phoenix,1249,684927,0.0018235519989721533
Colombia,Phoenix,5258,684927,0.007676730512886774
Ecuador,Phoenix,1420,684927,0.002073213641745763
Peru,Phoenix,3257,684927,0.004755251289553486
Uruguay,Phoenix,253,684927,3.693824305363929e-4
Venezuela,Phoenix,2174,684927,0.0031740608853206252
Canada,Phoenix,30565,684927,0.04462519363377411
Belgium,Portland,389,314406,0.0012372537419769343
France,Portland,1658,314406,0.005273436257577781
Germany,Portland,4998,314406,0.015896643193832178
Netherlands,Portland,1043,314406,0.0033173667169201604
Portugal,Portland,231,314406,7.347188030762771e-4
Spain,Portland,729,314406,0.0023186580408770825
Japan,Portland,5244,314406,0.016679071010095227
South Korea,Portland,9466,314406,0.030107567921731773
India,Portland,18268,314406,0.05810321685972914
Iran,Portland,3729,314406,0.011860460678231332
Philippines,Portland,11992,314406,0.03814176574238405
Cameroon,Portland,251,314406,7.983308206586388e-4
Morocco,Portland,462,314406,0.0014694376061525542
South Africa,Portland,1013,314406,0.0032219486905466182
Ghana,Portland,742,314406,0.0023600058523056177
Côte d'Ivoire,Portland,68,314406,2.1628085978002965e-4
Nigeria,Portland,767,314406,0.0024395208742835697
Senegal,Portland,108,314406,3.4350489494475297e-4
Australia,Portland,1398,314406,0.00444648002900708
Haiti,Portland,330,314406,0.0010495982901089673
Costa Rica,Portland,665,314406,0.002115099584613525
Guatemala,Portland,5797,314406,0.01843794329624753
Honduras,Portland,1435,314406,0.004564162261534449
Mexico,Portland,75987,314406,0.24168431900154577
Panama,Portland,206,314406,6.55203781098325e-4
Argentina,Portland,829,314406,0.0026367181287888907
Bolivia,Portland,140,314406,4.452841230765316e-4
Brazil,Portland,1622,314406,0.005158934625929531
Chile,Portland,803,314406,0.0025540225059318207
Colombia,Portland,1571,314406,0.004996723981094508
Ecuador,Portland,461,314406,0.0014662570052734363
Peru,Portland,1600,314406,0.005088961406588933
Uruguay,Portland,356,314406,0.0011322939129660375
Venezuela,Portland,1329,314406,0.004227018568347932
Canada,Portland,10455,314406,0.03325318219117956
Belgium,Sacramento,74,454722,1.627367930295873e-4
France,Sacramento,1079,454722,0.002372878374039523
Germany,Sacramento,4783,454722,0.010518514608925894
Netherlands,Sacramento,860,454722,0.0018912654325060146
Portugal,Sacramento,1041,454722,0.002289310831672978
Spain,Sacramento,653,454722,0.0014360422411935205
Japan,Sacramento,3911,454722,0.008600859426198865
South Korea,Sacramento,7522,454722,0.016541975096872375
India,Sacramento,32100,454722,0.07059258184121288
Iran,Sacramento,6882,454722,0.015134521751751619
Philippines,Sacramento,41856,454722,0.09204744877089738
Cameroon,Sacramento,111,454722,2.4410518954438097e-4
Morocco,Sacramento,476,454722,0.0010467934254335615
South Africa,Sacramento,1068,454722,0.00234868776967026
Cape Verde,Sacramento,51,454722,1.1215643843931017e-4
Ghana,Sacramento,572,454722,0.0012579114272016749
Côte d'Ivoire,Sacramento,123,454722,2.7049493976539514e-4
Nigeria,Sacramento,1646,454722,0.003619794071982442
Senegal,Sacramento,150,454722,3.2987187776267697e-4
Australia,Sacramento,1161,454722,0.00255320833388312
Haiti,Sacramento,144,454722,3.166770026521699e-4
Costa Rica,Sacramento,608,454722,0.0013370806778647173
Guatemala,Sacramento,3979,454722,0.008750401344117944
Honduras,Sacramento,1531,454722,0.0033668922990310562
Mexico,Sacramento,100169,454722,0.22028624082406392
Panama,Sacramento,704,454722,0.0015481986796328307
Argentina,Sacramento,839,454722,0.00184508336961924
Bolivia,Sacramento,261,454722,5.73977067307058e-4
Brazil,Sacramento,2227,454722,0.004897497811849878
Chile,Sacramento,455,454722,0.0010006113625467869
Colombia,Sacramento,1966,454722,0.00432352074454282
Ecuador,Sacramento,410,454722,9.016497992179837e-4
Peru,Sacramento,2449,454722,0.005385708190938639
Uruguay,Sacramento,23,454722,5.058035459027714e-5
Venezuela,Sacramento,955,454722,0.002100184288422377
Canada,Sacramento,6359,454722,0.013984368471285752
Belgium,San Antonio,97,308776,3.1414358628908983e-4
France,San Antonio,773,308776,0.0025034329092934685
Germany,San Antonio,4605,308776,0.014913723864549058
Netherlands,San Antonio,161,308776,5.214135813664274e-4
Portugal,San Antonio,75,308776,2.42894525481255e-4
Spain,San Antonio,952,308776,0.003083141176775397
Japan,San Antonio,1779,308776,0.005761458144415369
South Korea,San Antonio,3457,308776,0.011195818327849315
India,San Antonio,12979,308776,0.04203370728294945
Iran,San Antonio,1642,308776,0.005317770811202943
Philippines,San Antonio,9612,308776,0.031129362385677643
Cameroon,San Antonio,454,308776,0.0014703215275798638
Morocco,San Antonio,550,308776,0.0017812265201958702
South Africa,San Antonio,653,308776,0.0021148016685234605
Ghana,San Antonio,536,308776,0.0017358862087727025
Côte d'Ivoire,San Antonio,94,308776,3.0442780526983965e-4
Nigeria,San Antonio,1431,308776,0.004634427546182346
Senegal,San Antonio,116,308776,3.7567686607767445e-4
Australia,San Antonio,801,308776,0.0025941135321398035
Haiti,San Antonio,312,308776,0.0010104412260020209
Costa Rica,San Antonio,515,308776,0.0016678757416379512
Guatemala,San Antonio,3165,308776,0.010250148975308963
Honduras,San Antonio,7221,308776,0.023385884913335233
Mexico,San Antonio,178524,308776,0.5781666968935409
Panama,San Antonio,1905,308776,0.006169520947223878
Argentina,San Antonio,805,308776,0.0026070679068321374
Bolivia,San Antonio,89,308776,2.882348369044226e-4
Brazil,San Antonio,1758,308776,0.005693447677280618
Chile,San Antonio,529,308776,0.0017132160530611187
Colombia,San Antonio,4153,308776,0.013449879524315362
Ecuador,San Antonio,399,308776,0.0012921988755602767
Peru,San Antonio,1753,308776,0.0056772547089152005
Uruguay,San Antonio,94,308776,3.0442780526983965e-4
Venezuela,San Antonio,3315,308776,0.010735938026271472
Canada,San Antonio,3300,308776,0.010687359121175221
Belgium,San Diego,718,738271,9.725426029195242e-4
France,San Diego,3606,738271,0.004884385273158502
Germany,San Diego,7316,738271,0.009909640226962727
Netherlands,San Diego,1512,738271,0.0020480284340032317
Portugal,San Diego,1293,738271,0.0017513893949511765
Spain,San Diego,1894,738271,0.00256545360714426
Japan,San Diego,10859,738271,0.014708690982037762
South Korea,San Diego,15123,738271,0.020484347888512482
India,San Diego,26269,738271,0.03558178500848604
Iran,San Diego,12097,738271,0.01638558198818591
Philippines,San Diego,89668,738271,0.121456755039816
Cameroon,San Diego,236,738271,3.196658137729912e-4
Morocco,San Diego,572,738271,7.747832435514872e-4
South Africa,San Diego,3254,738271,0.004407595584819125
Ghana,San Diego,351,738271,4.754351721793217e-4
Côte d'Ivoire,San Diego,86,738271,1.1648838976473409e-4
Nigeria,San Diego,1259,738271,0.0017053358455093048
Senegal,San Diego,132,738271,1.7879613312726626e-4
Australia,San Diego,1882,738271,0.0025491994132235993
Haiti,San Diego,1099,738271,0.0014886132599004973
Costa Rica,San Diego,605,738271,8.194822768333037e-4
Guatemala,San Diego,9497,738271,0.012863839972042787
Honduras,San Diego,1504,738271,0.0020371923047227914
Mexico,San Diego,300316,738271,0.40678287512309164
Panama,San Diego,911,738271,0.0012339642218101483
Argentina,San Diego,1735,738271,0.0023500855376955075
Bolivia,San Diego,588,738271,7.964555021123679e-4
Brazil,San Diego,6759,738271,0.009155174725812067
Chile,San Diego,1209,738271,0.0016376100375065524
Colombia,San Diego,5285,738271,0.0071586179058909264
